ticker,name,sector,index_membership,sector_etf
MMM,3M,Industrials,SP500,XLI
AOS,A. O. Smith,Industrials,SP500,XLI
ABT,Abbott Laboratories,Health Care,SP500,XLV
ABBV,AbbVie,Health Care,SP500,XLV
ACN,Accenture,Information Technology,SP500,XLK
ADBE,Adobe Inc.,Information Technology,SP500+NDX100,XLK
AMD,Advanced Micro Devices,Information Technology,SP500+NDX100,XLK
AES,AES Corporation,Utilities,SP500,XLU
AFL,Aflac,Financials,SP500,XLF
A,Agilent Technologies,Health Care,SP500,XLV
APD,Air Products,Materials,SP500,XLB
ABNB,Airbnb,Consumer Discretionary,SP500+NDX100,XLY
AKAM,Akamai Technologies,Information Technology,SP500,XLK
ALB,Albemarle Corporation,Materials,SP500,XLB
ARE,Alexandria Real Estate Equities,Real Estate,SP500,XLRE
ALGN,Align Technology,Health Care,SP500,XLV
ALLE,Allegion,Industrials,SP500,XLI
LNT,Alliant Energy,Utilities,SP500,XLU
ALL,Allstate,Financials,SP500,XLF
GOOGL,Alphabet Inc. (Class A),Communication Services,SP500+NDX100,XLC
GOOG,Alphabet Inc. (Class C),Communication Services,SP500+NDX100,XLC
MO,Altria,Consumer Staples,SP500,XLP
AMZN,Amazon,Consumer Discretionary,SP500+NDX100,XLY
AMCR,Amcor,Materials,SP500,XLB
AEE,Ameren,Utilities,SP500,XLU
AEP,American Electric Power,Utilities,SP500+NDX100,XLU
AXP,American Express,Financials,SP500,XLF
AIG,American International Group,Financials,SP500,XLF
AMT,American Tower,Real Estate,SP500,XLRE
AWK,American Water Works,Utilities,SP500,XLU
AMP,Ameriprise Financial,Financials,SP500,XLF
AME,Ametek,Industrials,SP500,XLI
AMGN,Amgen,Health Care,SP500+NDX100,XLV
APH,Amphenol,Information Technology,SP500,XLK
ADI,Analog Devices,Information Technology,SP500+NDX100,XLK
AON,Aon plc,Financials,SP500,XLF
APA,APA Corporation,Energy,SP500,XLE
APO,Apollo Global Management,Financials,SP500,XLF
AAPL,Apple Inc.,Information Technology,SP500+NDX100,XLK
AMAT,Applied Materials,Information Technology,SP500+NDX100,XLK
APP,AppLovin,Information Technology,SP500+NDX100,XLK
APTV,Aptiv,Consumer Discretionary,SP500,XLY
ACGL,Arch Capital Group,Financials,SP500,XLF
ADM,Archer Daniels Midland,Consumer Staples,SP500,XLP
ARES,Ares Management,Financials,SP500,XLF
ANET,Arista Networks,Information Technology,SP500,XLK
AJG,Arthur J. Gallagher & Co.,Financials,SP500,XLF
AIZ,Assurant,Financials,SP500,XLF
T,AT&T,Communication Services,SP500,XLC
ATO,Atmos Energy,Utilities,SP500,XLU
ADSK,Autodesk,Information Technology,SP500+NDX100,XLK
ADP,Automatic Data Processing,Industrials,SP500+NDX100,XLI
AZO,AutoZone,Consumer Discretionary,SP500,XLY
AVB,AvalonBay Communities,Real Estate,SP500,XLRE
AVY,Avery Dennison,Materials,SP500,XLB
AXON,Axon Enterprise,Industrials,SP500+NDX100,XLI
BKR,Baker Hughes,Energy,SP500+NDX100,XLE
BALL,Ball Corporation,Materials,SP500,XLB
BAC,Bank of America,Financials,SP500,XLF
BAX,Baxter International,Health Care,SP500,XLV
BDX,Becton Dickinson,Health Care,SP500,XLV
BRK-B,Berkshire Hathaway,Financials,SP500,XLF
BBY,Best Buy,Consumer Discretionary,SP500,XLY
TECH,Bio-Techne,Health Care,SP500,XLV
BIIB,Biogen,Health Care,SP500,XLV
BLK,BlackRock,Financials,SP500,XLF
BX,Blackstone Inc.,Financials,SP500,XLF
XYZ,"Block, Inc.",Financials,SP500,XLF
BNY,BNY Mellon,Financials,SP500,XLF
BA,Boeing,Industrials,SP500,XLI
BKNG,Booking Holdings,Consumer Discretionary,SP500+NDX100,XLY
BSX,Boston Scientific,Health Care,SP500,XLV
BMY,Bristol Myers Squibb,Health Care,SP500,XLV
AVGO,Broadcom,Information Technology,SP500+NDX100,XLK
BR,Broadridge Financial Solutions,Industrials,SP500,XLI
BRO,Brown & Brown,Financials,SP500,XLF
BF-B,Brown–Forman,Consumer Staples,SP500,XLP
BLDR,Builders FirstSource,Industrials,SP500,XLI
BG,Bunge Global,Consumer Staples,SP500,XLP
BXP,"BXP, Inc.",Real Estate,SP500,XLRE
CHRW,C.H. Robinson,Industrials,SP500,XLI
CDNS,Cadence Design Systems,Information Technology,SP500+NDX100,XLK
CPT,Camden Property Trust,Real Estate,SP500,XLRE
COF,Capital One,Financials,SP500,XLF
CAH,Cardinal Health,Health Care,SP500,XLV
CCL,Carnival Corporation,Consumer Discretionary,SP500,XLY
CARR,Carrier Global,Industrials,SP500,XLI
CVNA,Carvana,Consumer Discretionary,SP500,XLY
CASY,Casey's,Consumer Staples,SP500,XLP
CAT,Caterpillar Inc.,Industrials,SP500,XLI
CBOE,Cboe Global Markets,Financials,SP500,XLF
CBRE,CBRE Group,Real Estate,SP500,XLRE
CDW,CDW Corporation,Information Technology,SP500,XLK
COR,Cencora,Health Care,SP500,XLV
CNC,Centene Corporation,Health Care,SP500,XLV
CNP,CenterPoint Energy,Utilities,SP500,XLU
CF,CF Industries,Materials,SP500,XLB
CRL,Charles River Laboratories,Health Care,SP500,XLV
SCHW,Charles Schwab Corporation,Financials,SP500,XLF
CHTR,Charter Communications,Communication Services,SP500,XLC
CVX,Chevron Corporation,Energy,SP500,XLE
CMG,Chipotle Mexican Grill,Consumer Discretionary,SP500,XLY
CB,Chubb Limited,Financials,SP500,XLF
CHD,Church & Dwight,Consumer Staples,SP500,XLP
CIEN,Ciena,Information Technology,SP500,XLK
CI,Cigna,Health Care,SP500,XLV
CINF,Cincinnati Financial,Financials,SP500,XLF
CTAS,Cintas,Industrials,SP500+NDX100,XLI
CSCO,Cisco,Information Technology,SP500+NDX100,XLK
C,Citigroup,Financials,SP500,XLF
CFG,Citizens Financial Group,Financials,SP500,XLF
CLX,Clorox,Consumer Staples,SP500,XLP
CME,CME Group,Financials,SP500,XLF
CMS,CMS Energy,Utilities,SP500,XLU
KO,Coca-Cola Company (The),Consumer Staples,SP500,XLP
CTSH,Cognizant,Information Technology,SP500,XLK
COHR,Coherent Corp.,Information Technology,SP500,XLK
COIN,Coinbase,Financials,SP500,XLF
CL,Colgate-Palmolive,Consumer Staples,SP500,XLP
CMCSA,Comcast,Communication Services,SP500+NDX100,XLC
FIX,Comfort Systems USA,Industrials,SP500,XLI
COP,ConocoPhillips,Energy,SP500,XLE
ED,Consolidated Edison,Utilities,SP500,XLU
STZ,Constellation Brands,Consumer Staples,SP500,XLP
CEG,Constellation Energy,Utilities,SP500+NDX100,XLU
COO,Cooper Companies (The),Health Care,SP500,XLV
CPRT,Copart,Industrials,SP500+NDX100,XLI
GLW,Corning Inc.,Information Technology,SP500,XLK
CPAY,Corpay,Financials,SP500,XLF
CTVA,Corteva,Materials,SP500,XLB
CSGP,CoStar Group,Real Estate,SP500,XLRE
COST,Costco,Consumer Staples,SP500+NDX100,XLP
CRH,CRH plc,Materials,SP500,XLB
CRWD,CrowdStrike,Information Technology,SP500+NDX100,XLK
CCI,Crown Castle,Real Estate,SP500,XLRE
CSX,CSX Corporation,Industrials,SP500+NDX100,XLI
CMI,Cummins,Industrials,SP500,XLI
CVS,CVS Health,Health Care,SP500,XLV
DHR,Danaher Corporation,Health Care,SP500,XLV
DRI,Darden Restaurants,Consumer Discretionary,SP500,XLY
DDOG,Datadog,Information Technology,SP500+NDX100,XLK
DVA,DaVita,Health Care,SP500,XLV
DECK,Deckers Brands,Consumer Discretionary,SP500,XLY
DE,Deere & Company,Industrials,SP500,XLI
DELL,Dell Technologies,Information Technology,SP500,XLK
DAL,Delta Air Lines,Industrials,SP500,XLI
DVN,Devon Energy,Energy,SP500,XLE
DXCM,Dexcom,Health Care,SP500+NDX100,XLV
FANG,Diamondback Energy,Energy,SP500+NDX100,XLE
DLR,Digital Realty,Real Estate,SP500,XLRE
DG,Dollar General,Consumer Staples,SP500,XLP
DLTR,Dollar Tree,Consumer Staples,SP500,XLP
D,Dominion Energy,Utilities,SP500,XLU
DPZ,Domino's,Consumer Discretionary,SP500,XLY
DASH,DoorDash,Consumer Discretionary,SP500+NDX100,XLY
DOV,Dover Corporation,Industrials,SP500,XLI
DOW,Dow Inc.,Materials,SP500,XLB
DHI,D. R. Horton,Consumer Discretionary,SP500,XLY
DTE,DTE Energy,Utilities,SP500,XLU
DUK,Duke Energy,Utilities,SP500,XLU
DD,DuPont,Materials,SP500,XLB
ETN,Eaton Corporation,Industrials,SP500,XLI
EBAY,eBay Inc.,Consumer Discretionary,SP500,XLY
ECHO,EchoStar,Communication Services,SP500,XLC
ECL,Ecolab,Materials,SP500,XLB
EIX,Edison International,Utilities,SP500,XLU
EW,Edwards Lifesciences,Health Care,SP500,XLV
EA,Electronic Arts,Communication Services,SP500+NDX100,XLC
ELV,Elevance Health,Health Care,SP500,XLV
EME,Emcor,Industrials,SP500,XLI
EMR,Emerson Electric,Industrials,SP500,XLI
ETR,Entergy,Utilities,SP500,XLU
EOG,EOG Resources,Energy,SP500,XLE
EQT,EQT Corporation,Energy,SP500,XLE
EFX,Equifax,Industrials,SP500,XLI
EQIX,Equinix,Real Estate,SP500,XLRE
EQR,Equity Residential,Real Estate,SP500,XLRE
ERIE,Erie Indemnity,Financials,SP500,XLF
ESS,Essex Property Trust,Real Estate,SP500,XLRE
EL,Estée Lauder Companies (The),Consumer Staples,SP500,XLP
EG,Everest Group,Financials,SP500,XLF
EVRG,Evergy,Utilities,SP500,XLU
ES,Eversource Energy,Utilities,SP500,XLU
EXC,Exelon,Utilities,SP500+NDX100,XLU
EXE,Expand Energy,Energy,SP500,XLE
EXPE,Expedia Group,Consumer Discretionary,SP500,XLY
EXPD,Expeditors International,Industrials,SP500,XLI
EXR,Extra Space Storage,Real Estate,SP500,XLRE
XOM,ExxonMobil,Energy,SP500,XLE
FFIV,"F5, Inc.",Information Technology,SP500,XLK
FDS,FactSet,Financials,SP500,XLF
FICO,Fair Isaac,Information Technology,SP500,XLK
FAST,Fastenal,Industrials,SP500+NDX100,XLI
FRT,Federal Realty Investment Trust,Real Estate,SP500,XLRE
FDX,FedEx,Industrials,SP500,XLI
FDXF,FedEx Freight,Industrials,SP500,XLI
FIS,Fidelity National Information Services,Financials,SP500,XLF
FITB,Fifth Third Bancorp,Financials,SP500,XLF
FSLR,First Solar,Information Technology,SP500,XLK
FE,FirstEnergy,Utilities,SP500,XLU
FISV,Fiserv,Financials,SP500,XLF
FLEX,Flex Ltd.,Information Technology,SP500,XLK
F,Ford Motor Company,Consumer Discretionary,SP500,XLY
FTNT,Fortinet,Information Technology,SP500+NDX100,XLK
FTV,Fortive,Industrials,SP500,XLI
FOXA,Fox Corporation (Class A),Communication Services,SP500,XLC
FOX,Fox Corporation (Class B),Communication Services,SP500,XLC
BEN,Franklin Resources,Financials,SP500,XLF
FCX,Freeport-McMoRan,Materials,SP500,XLB
GRMN,Garmin,Consumer Discretionary,SP500,XLY
IT,Gartner,Information Technology,SP500,XLK
GE,GE Aerospace,Industrials,SP500,XLI
GEHC,GE HealthCare,Health Care,SP500+NDX100,XLV
GEV,GE Vernova,Industrials,SP500,XLI
GEN,Gen Digital,Information Technology,SP500,XLK
GNRC,Generac,Industrials,SP500,XLI
GD,General Dynamics,Industrials,SP500,XLI
GIS,General Mills,Consumer Staples,SP500,XLP
GM,General Motors,Consumer Discretionary,SP500,XLY
GPC,Genuine Parts Company,Consumer Discretionary,SP500,XLY
GILD,Gilead Sciences,Health Care,SP500+NDX100,XLV
GPN,Global Payments,Financials,SP500,XLF
GL,Globe Life,Financials,SP500,XLF
GDDY,GoDaddy,Information Technology,SP500,XLK
GS,Goldman Sachs,Financials,SP500,XLF
HAL,Halliburton,Energy,SP500,XLE
HIG,Hartford (The),Financials,SP500,XLF
HAS,Hasbro,Consumer Discretionary,SP500,XLY
HCA,HCA Healthcare,Health Care,SP500,XLV
DOC,Healthpeak Properties,Real Estate,SP500,XLRE
HSIC,Henry Schein,Health Care,SP500,XLV
HSY,Hershey Company (The),Consumer Staples,SP500,XLP
HPE,Hewlett Packard Enterprise,Information Technology,SP500,XLK
HLT,Hilton Worldwide,Consumer Discretionary,SP500,XLY
HD,Home Depot (The),Consumer Discretionary,SP500,XLY
HONA,Honeywell Aerospace,Industrials,SP500+NDX100,XLI
HON,Honeywell Technologies,Industrials,SP500+NDX100,XLI
HRL,Hormel Foods,Consumer Staples,SP500,XLP
HST,Host Hotels & Resorts,Real Estate,SP500,XLRE
HWM,Howmet Aerospace,Industrials,SP500,XLI
HPQ,HP Inc.,Information Technology,SP500,XLK
HUBB,Hubbell Incorporated,Industrials,SP500,XLI
HUM,Humana,Health Care,SP500,XLV
HBAN,Huntington Bancshares,Financials,SP500,XLF
HII,Huntington Ingalls Industries,Industrials,SP500,XLI
