run_date,regime,ticker,setup,entry,stop,target,rr,score,outcome,outcome_r,notes
2026-07-11,RISK_ON_TRENDING,NVDA,PULLBACK_TO_VALUE,209.88,203.09,235.47,3.77,10.7,,,
2026-07-11,RISK_ON_TRENDING,V,ACCEPTANCE_BREAKOUT,333.68,325.14,362.13,3.33,9.0,,,
2026-07-11,RISK_ON_TRENDING,RVTY,PULLBACK_TO_VALUE,112.48,101.28,141.88,2.62,42.5,,,
2026-07-11,RISK_ON_TRENDING,NXPI,PULLBACK_TO_VALUE,291.81,277.21,331.55,2.72,42.2,,,
2026-07-11,RISK_ON_TRENDING,ABBV,PULLBACK_TO_VALUE,251.01,228.24,312.68,2.71,25.0,,,
2026-07-11,RISK_ON_TRENDING,CPAY,PULLBACK_TO_VALUE,347.59,330.08,396.76,2.81,11.2,,,
2026-07-11,RISK_ON_TRENDING,NVDA,PULLBACK_TO_VALUE,209.88,203.09,235.47,3.77,10.7,,,
2026-07-11,RISK_ON_TRENDING,V,ACCEPTANCE_BREAKOUT,333.68,325.14,362.13,3.33,9.0,,,
2026-07-16,RISK_ON_TRENDING,EW,PULLBACK_TO_VALUE,86.99,83.95,95.18,2.7,13.9,,,
2026-07-16,RISK_ON_TRENDING,ANET,PULLBACK_TO_VALUE,171.51,157.1,208.71,2.58,3.9,,,
2026-07-22,RISK_ON_TRENDING,ABBV,PULLBACK_TO_VALUE,250.23,228.78,313.91,2.97,37.5,,,
2026-07-22,RISK_ON_TRENDING,VRTX,PULLBACK_TO_VALUE,474.18,458.51,529.59,3.54,16.8,,,
2026-07-22,RISK_ON_TRENDING,GEV,PULLBACK_TO_VALUE,1086.01,940.93,1482.67,2.73,13.5,,,
2026-07-22,RISK_ON_TRENDING,VRTX,PULLBACK_TO_VALUE,474.18,458.51,529.59,3.54,17.2,,,
2026-07-22,RISK_ON_TRENDING,GEV,PULLBACK_TO_VALUE,1082.4,940.95,1482.67,2.83,10.8,,,
2026-07-22,RISK_ON_TRENDING,VRTX,PULLBACK_TO_VALUE,474.18,458.51,529.59,3.54,17.2,,,
2026-07-22,RISK_ON_TRENDING,GEV,PULLBACK_TO_VALUE,1082.4,940.95,1482.67,2.83,10.8,,,
2026-07-21,RISK_ON_TRENDING,VRTX,PULLBACK_TO_VALUE,474.18,458.51,529.59,3.54,17.0,,,
2026-07-21,RISK_ON_TRENDING,GEV,PULLBACK_TO_VALUE,1078.6,941.07,1482.67,2.94,7.7,,,
2026-07-21,RISK_ON_TRENDING,VRTX,PULLBACK_TO_VALUE,474.18,458.51,529.59,3.54,16.9,,,
2026-07-21,RISK_ON_TRENDING,GEV,PULLBACK_TO_VALUE,1078.81,941.22,1482.67,2.94,6.2,,,
2026-07-22,RISK_ON_TRENDING,CNC,PULLBACK_TO_VALUE,65.21,54.82,92.38,2.61,33.7,,,
2026-07-22,RISK_ON_TRENDING,VRTX,PULLBACK_TO_VALUE,472.57,456.6,529.59,3.57,12.9,,,
2026-07-23,RISK_ON_TRENDING,ELV,PULLBACK_TO_VALUE,375.49,359.02,426.79,3.11,20.5,,,
2026-07-23,RISK_ON_TRENDING,VRTX,PULLBACK_TO_VALUE,473.09,458.44,529.59,3.86,18.8,,,
2026-07-31,RISK_ON_TRENDING,ZBRA,ACCEPTANCE_BREAKOUT,260.87,243.41,341.36,4.61,65.1,,,
2026-07-31,RISK_ON_TRENDING,TECH,PULLBACK_TO_VALUE,70.91,65.37,91.67,3.75,45.2,,,
2026-07-31,RISK_ON_TRENDING,STT,PULLBACK_TO_VALUE,184.16,155.5,256.23,2.51,32.4,,,
2026-07-31,RISK_ON_TRENDING,BEN,PULLBACK_TO_VALUE,33.24,30.2,41.36,2.67,21.2,,,
2026-07-31,RISK_ON_TRENDING,VRTX,PULLBACK_TO_VALUE,477.1,465.26,529.59,4.43,18.7,,,
2026-07-31,RISK_ON_TRENDING,GS,PULLBACK_TO_VALUE,1018.38,972.76,1152.07,2.93,11.5,,,
2026-07-31,RISK_ON_TRENDING,AIG,PULLBACK_TO_VALUE,77.39,75.71,85.51,4.84,3.3,,,
2026-08-01,RISK_ON_TRENDING,ZBRA,ACCEPTANCE_BREAKOUT,260.87,243.42,341.36,4.61,65.1,,,
2026-08-01,RISK_ON_TRENDING,TECH,PULLBACK_TO_VALUE,70.91,65.37,91.67,3.75,45.2,,,
2026-08-01,RISK_ON_TRENDING,STT,PULLBACK_TO_VALUE,184.16,155.54,256.23,2.52,32.4,,,
2026-08-01,RISK_ON_TRENDING,BEN,PULLBACK_TO_VALUE,33.24,30.24,41.36,2.7,21.2,,,
2026-08-01,RISK_ON_TRENDING,VRTX,PULLBACK_TO_VALUE,477.1,465.26,529.59,4.43,18.7,,,
2026-08-01,RISK_ON_TRENDING,GS,PULLBACK_TO_VALUE,1018.38,972.75,1152.07,2.93,10.9,,,
2026-08-01,RISK_ON_TRENDING,AIG,PULLBACK_TO_VALUE,78.58,76.82,85.51,3.94,3.3,,,
2026-08-02,RISK_ON_TRENDING,ZBRA,ACCEPTANCE_BREAKOUT,260.87,243.42,341.36,4.61,65.1,,,
2026-08-02,RISK_ON_TRENDING,TECH,PULLBACK_TO_VALUE,70.91,65.37,91.67,3.75,45.2,,,
2026-08-02,RISK_ON_TRENDING,STT,PULLBACK_TO_VALUE,184.16,155.54,256.23,2.52,32.4,,,
2026-08-02,RISK_ON_TRENDING,BEN,PULLBACK_TO_VALUE,33.24,30.24,41.36,2.7,21.2,,,
2026-08-02,RISK_ON_TRENDING,VRTX,PULLBACK_TO_VALUE,477.1,465.26,529.59,4.43,18.7,,,
2026-08-02,RISK_ON_TRENDING,GS,PULLBACK_TO_VALUE,1018.38,972.75,1152.07,2.93,10.9,,,
2026-08-02,RISK_ON_TRENDING,AIG,PULLBACK_TO_VALUE,78.58,76.82,85.51,3.94,3.3,,,
2026-08-03,RISK_ON_TRENDING,ZBRA,ACCEPTANCE_BREAKOUT,260.87,244.24,341.36,4.84,68.2,,,
2026-08-03,RISK_ON_TRENDING,STT,PULLBACK_TO_VALUE,183.67,155.65,256.23,2.59,37.2,,,
2026-08-04,RISK_ON_TRENDING,ZBRA,ACCEPTANCE_BREAKOUT,265.25,247.78,368.83,5.93,71.0,,,
2026-08-04,RISK_ON_TRENDING,WRB,PULLBACK_TO_VALUE,71.39,69.57,76.44,2.77,4.0,,,
2026-08-05,RISK_ON_TRENDING,ZBRA,ACCEPTANCE_BREAKOUT,267.89,249.81,368.99,5.59,71.4,,,
2026-08-05,RISK_ON_TRENDING,ANET,ACCEPTANCE_BREAKOUT,167.95,156.88,197.31,2.65,38.2,,,
2026-08-05,RISK_ON_TRENDING,STT,PULLBACK_TO_VALUE,183.96,156.13,254.67,2.54,28.2,,,
2026-08-05,RISK_ON_TRENDING,PFG,PULLBACK_TO_VALUE,112.75,102.35,140.58,2.68,27.7,,,
2026-08-05,RISK_ON_TRENDING,WRB,PULLBACK_TO_VALUE,71.24,69.46,76.44,2.92,13.4,,,
2026-08-07,RISK_ON_TRENDING,ZBRA,ACCEPTANCE_BREAKOUT,271.46,250.83,368.99,4.73,73.4,,,
2026-08-07,RISK_ON_TRENDING,ANET,ACCEPTANCE_BREAKOUT,167.98,157.37,197.31,2.76,69.0,,,
2026-08-07,RISK_ON_TRENDING,WRB,PULLBACK_TO_VALUE,71.24,69.51,76.44,3.0,20.7,,,
2026-08-07,RISK_ON_TRENDING,PGR,PULLBACK_TO_VALUE,212.74,207.48,237.26,4.66,14.2,,,
2026-08-07,RISK_ON_TRENDING,NVDA,ACCEPTANCE_BREAKOUT,209.88,202.09,235.47,3.28,3.3,,,
2026-08-07,RISK_ON_TRENDING,ZBRA,ACCEPTANCE_BREAKOUT,270.54,251.91,376.49,5.69,75.7,,,
2026-08-07,RISK_ON_TRENDING,ANET,ACCEPTANCE_BREAKOUT,167.98,156.92,197.31,2.65,67.2,,,
2026-08-07,RISK_ON_TRENDING,RVTY,PULLBACK_TO_VALUE,112.66,104.27,139.81,3.23,32.2,,,
2026-08-07,RISK_ON_TRENDING,TECH,PULLBACK_TO_VALUE,70.91,65.68,91.67,3.97,31.4,,,
2026-08-07,RISK_ON_TRENDING,CAH,PULLBACK_TO_VALUE,236.4,220.35,285.05,3.03,27.6,,,
2026-08-07,RISK_ON_TRENDING,PFG,PULLBACK_TO_VALUE,113.4,102.57,141.18,2.57,22.3,,,
2026-08-07,RISK_ON_TRENDING,PGR,PULLBACK_TO_VALUE,212.74,207.7,237.26,4.87,11.7,,,
2026-08-07,RISK_ON_TRENDING,WRB,ACCEPTANCE_BREAKOUT,71.75,70.0,76.44,2.68,7.8,,,
2026-08-07,RISK_ON_TRENDING,VRSN,PULLBACK_TO_VALUE,294.56,262.59,375.45,2.53,1.7,,,
2026-08-07,RISK_ON_TRENDING,NVDA,ACCEPTANCE_BREAKOUT,209.88,202.05,235.47,3.27,0.9,,,
2026-08-08,RISK_ON_TRENDING,ZBRA,ACCEPTANCE_BREAKOUT,270.54,251.91,376.49,5.69,75.7,,,
2026-08-08,RISK_ON_TRENDING,ANET,ACCEPTANCE_BREAKOUT,167.98,156.92,197.31,2.65,67.2,,,
2026-08-08,RISK_ON_TRENDING,RVTY,PULLBACK_TO_VALUE,112.66,104.3,139.81,3.25,32.2,,,
2026-08-08,RISK_ON_TRENDING,TECH,PULLBACK_TO_VALUE,70.91,65.73,91.67,4.01,31.4,,,
2026-08-08,RISK_ON_TRENDING,CAH,PULLBACK_TO_VALUE,236.4,220.38,285.05,3.04,27.9,,,
2026-08-08,RISK_ON_TRENDING,PFG,PULLBACK_TO_VALUE,113.4,102.58,141.18,2.57,22.4,,,
2026-08-08,RISK_ON_TRENDING,PGR,PULLBACK_TO_VALUE,212.74,207.7,237.26,4.87,11.7,,,
2026-08-08,RISK_ON_TRENDING,WRB,ACCEPTANCE_BREAKOUT,71.75,70.0,76.44,2.68,7.8,,,
2026-08-08,RISK_ON_TRENDING,VRSN,PULLBACK_TO_VALUE,294.56,262.6,375.45,2.53,1.7,,,
2026-08-08,RISK_ON_TRENDING,NVDA,ACCEPTANCE_BREAKOUT,209.88,202.05,235.47,3.27,0.9,,,
2026-08-09,RISK_ON_TRENDING,ZBRA,ACCEPTANCE_BREAKOUT,270.54,251.91,376.49,5.69,75.7,,,
